name,value,year,lastValue,rank,color
"Variola",221.0,1949.0,167.0,21,"red"
"Vibrio cholerae",210.0,1949.0,189.0,22,"red"
"Actinomyces",210.0,1949.0,164.0,23,"red"
"EBV",207.0,1949.0,147.0,24,"red"
"Filarial worms",189.0,1949.0,158.0,25,"red"
"Leptospira",188.0,1949.0,160.0,26,"red"
"Rabies virus",186.0,1949.0,146.0,27,"red"
"Measles virus",179.0,1949.0,134.0,28,"red"
"Shigella",177.0,1949.0,159.0,29,"red"
"Klebsiella",144.0,1949.0,111.0,30,"red"
"Yersinia pestis",144.0,1949.0,115.0,31,"red"
"Ascaris",141.0,1949.0,111.0,32,"red"
"Sarcoptes scabiei",136.0,1949.0,115.0,33,"red"
"Histoplasma capsulatum",135.0,1949.0,93.0,34,"red"
"Toxoplasma",133.0,1949.0,73.0,35,"red"
"Orientia tsutsugamushi",125.0,1949.0,108.0,36,"red"
"Borrelia",123.0,1949.0,107.0,37,"red"
"Bacillus anthracis",119.0,1949.0,100.0,38,"red"
"Trichomonas vaginalis",117.0,1949.0,93.0,39,"red"
"Mumps virus",117.0,1949.0,84.0,40,"red"
